3027926,76505,2880,6414
463409,19286,393,2304
4761358,50802,1128,8606
376381,8909,170,334
30851,261,65,49
13752002,46101,4898,0
433708,24188,712,2383
2465146,179085,1567,11973
836472,19314,1206,0
599780,29851,299,453
106186,4695,193,396
626600,20553,1033,2138
384682,21302,353,1559
2451184,176110,1017,6257
480279,26662,241,557
189414,7070,112,288
103666,196,67,80
74494,2218,37,159
1110865,11255,1817,3631
235562,1801,78,96
1798895,26425,465,2278
12200526,258842,44339,0
5457497,349857,17479,52483
3654879,30836,6101,16713
1398322,35880,619,6246
1568852,174771,2166,19191
558820,4847,259,1083
761705,32608,1562,6864
6997601,626155,46445,190979
504827,29220,457,2233
580441,2520,533,977
2084309,128402,1136,8733
909358,14539,672,1353
1119034,12843,560,1367
3087549,93812,3067,19758
380266,11558,1286,1783
83219,157,190,406
1673317,40496,678,3915
393968,10053,596,1191
990274,22897,639,2430
86119,1835,18,230
1668188,88182,5893,7373
705475,34506,549,3180
515740,37881,538,8313
367178,5296,199,2422
751902,22556,870,4638
1341911,33111,1035,4709
413029,18228,404,1671
1637683,76343,936,6052
87153,220,43,115
1130469,39886,876,2347
378178,25046,1112,2510
292585,16909,325,1845
41452,485,244,318
2741837,72782,7146,18239
586091,26816,778,2165
2995809,9467,371,1709
712467,33015,863,4018
159643,4389,651,603
1805185,72625,1714,4056
71109,4127,50,299
1091878,49500,538,3886
53673,1208,45,118
396448,1557,292,1368
50518,1237,30,118
11475555,398514,8158,24861
772128,21783,813,2839
310527,23994,373,2224
232505,498,793,642
22004,38,15,6
55614,2433,84,453
111776,4857,68,311
240156,7977,189,798
17777,15,0,6
478747,54551,306,3702
19105,154,20,20
13459,223,2,23
579532,17845,277,1852
65650,403,57,175
829793,6501,386,2582
429138,18017,343,3900
91333,6871,183,705
1461358,35312,1062,6077
22490,1939,15,156
93030,6162,81,564
229037,4137,157,587
3506621,67469,4459,8750
285838,31544,422,3563
35101,172,5,47
205103,10947,471,1206
971177,19477,1157,8125
1180879,47871,1640,4295
564175,33359,489,4152
61085,3797,9,362
213321,12990,138,1403
222206,21395,150,2298
675609,3571,1640,920
947706,25968,741,1139
892442,27575,554,6161
219849,3905,181,1329
310292,4598,155,371
214484,12908,125,937
2511218,90146,1320,7936
116342,569,37,121
496275,25070,236,3634
86268,6084,48,686
81215,3716,228,494
40606,4296,11,605
267179,1071,184,0
376653,21239,220,3538
45843,2548,115,504
25912,1602,22,114
165684,15485,77,1180
12588,1330,4,119
70220,6395,80,388
1247138,68793,1092,4582
51223,0,0,0
59907,152,248,286
158781,10142,60,1003
410406,14671,344,1407
1918194,39488,2017,6311
179786,2642,25,466
19880,112,3,28
304490,10871,171,385
618587,35336,1143,16645
329508,3915,105,697
274315,16268,266,1965
4959620,18534,2723,2450
4830992,107674,2276,11743
150257,10185,137,1107
264911,11034,304,1231
1170059,15377,996,4695
54816,4499,129,640
364857,3521,24218,6501
2817086,18485,723,5728
9396,76,2,13
482681,949,138,598
151736,2153,102,444
24701,119,11,54
372944,15547,646,2081
56016,351,12,20
2711006,29072,2279,7081
19753,112,5,10
348472,18538,115,1070
7198312,26768,3932,147
252323,12482,202,1635
17270,1749,39,213
122462,5058,107,355
1490599,75508,1519,3978
