57819,682,29,147
599742,29851,299,453
1655312,23960,455,2777
220053,6740,853,1455
657439,24309,390,1783
836133,19314,1206,0
59384,209,12,19
74896,2606,93,240
384624,21301,353,1559
79826,3740,52,375
189372,7070,112,288
319276,4939,3627,0
185604,8689,202,492
538884,4610,1276,3651
659862,43887,593,342
338544,16458,217,2527
445180,5189,313,502
288843,8899,55,544
900916,75199,254,7395
60191,972,76,312
149811,5737,87,1439
291531,7401,251,585
87063,2203,18,351
1055582,39081,842,4809
803941,27542,553,2512
85630,521,35,99
1868689,31842,1395,2798
56949,1129,19,111
467118,1474,385,310
828608,2935,599,2113
181598,3370,41,199
364765,9537,1270,1629
64273,3756,32,843
1368378,38304,581,2762
62161,1709,20,125
181645,2399,374,1300
129516,5166,221,339
503997,15015,1147,1319
118932,5296,51,255
854299,26749,548,2233
105687,4819,35,354
2214471,85209,4165,18085
4690194,505334,13072,83992
10139,113,0,18
81262,6822,120,431
1997363,69424,5278,16930
70042,5632,33,307
104581,3763,106,254
54723,2317,51,197
255648,5970,112,178
17521230,437405,25272,72329
167243,8387,147,453
126475,937,40,46
311056,4939,318,471
740296,16644,789,1424
149777,6768,92,793
278555,12005,165,330
1796205,26393,464,2278
5457215,349832,17471,52478
1109739,11238,1809,3626
7920718,81587,14433,1460
2083895,128378,1136,8733
193416,7410,212,472
1398012,35862,619,6241
3654631,30830,6099,16709
1568532,174682,2162,19186
153181,9241,134,907
504620,29196,457,2233
1341911,33110,1035,4709
197058,14771,224,1257
380211,11550,1284,1778
27927,169,3,85
1637505,76339,936,6052
743189,28799,609,1980
1805172,72614,1714,4056
1461311,35310,1062,6077
1152533,25561,1142,4237
1668188,88156,5892,7369
1091878,49488,537,3881
558740,4842,259,1083
11475270,398493,8158,24861
585991,26814,778,2165
257201,10096,227,1362
81675,3085,42,308
46864,1893,47,159
482329,11797,178,575
705475,34493,549,3180
9749,153,4,10
772128,21776,813,2839
8940,72,10,49
482637,28975,336,2423
57168,1305,17,176
111776,4848,68,311
292538,16890,322,1834
746904,12073,755,1562
304490,10867,171,385
207071,2021,1977,0
87061,220,43,115
579530,17842,277,1852
214481,12908,125,937
1247121,68785,1092,4582
205103,10944,471,1206
86229,1870,97,759
53745,483,57,206
413020,18223,404,1671
743630,48909,471,3746
209260,6056,420,573
393968,10053,596,1191
115702,4367,111,479
2511096,90132,1319,7936
429138,18013,343,3900
947706,25968,741,1139
1759154,54336,8854,37011
187511,4086,842,3372
1180879,47863,1640,4295
250268,11351,457,1270
4959620,18534,2722,2450
162622,9173,94,951
496246,25067,236,3634
410405,14670,344,1407
4830992,107671,2276,11743
62029,1985,76,216
792162,3186,2354,929
481646,26919,8151,13162
41152,2278,44,470
71912,2013,17,165
892442,27573,554,6161
2817039,18480,723,5724
55602,2433,84,453
141012,498,208,1951
85814,5415,68,1723
2055,62,24,0
169383,2615,73,0
376653,21238,220,3538
144652,5837,46,455
179765,2642,25,466
352810,4634,238,331
158779,10142,60,1003
541685,6617,117,901
348472,18536,115,1070
352123,6769,81,283
372944,15547,646,2081
205695,16389,111,2554
152653,1454,116,661
45841,2548,115,504
461896,6740,299,572
125476,3931,75,382
25787,968,36,294
1603599,193810,804,20195
